id	BLUE	GREEN	RED	NIR	R	G	B
1	1922	2156	2770	3406	180	118	94
2	1808	2042	2520	3424	155	106	82
3	1860	2042	2574	3144	160	106	88
4	1884	2062	2620	3156	165	108	90
5	1889	1985	2246	2864	128	102	91
6	1827	2030	2422	2948	145	105	85
7	1868	1976	2186	2866	121	100	89
8	2290	2832	3468	3954	251	187	132
9	2416	2870	3484	3742	253	190	144
10	8328	8076	8084	8108	255	255	255
11	8904	8768	8816	8728	255	255	255
13	8992	9056	9120	9288	255	255	255
14	2028	2080	2142	1982	117	110	105
15	2022	2094	2178	1964	120	112	104
16	2015	2080	2172	1975	120	110	104
17	1879	2084	2116	1642	114	111	90
18	1881	2102	2138	1682	116	112	90
19	1692	1774	1932	2220	95	79	71
20	1703	1767	1927	2246	95	78	72
21	1930	2128	2544	3350	157	115	95
22	1670	1717	1838	2104	86	73	69
23	1853	2152	2472	3976	150	118	87
24	1748	1996	2424	2886	145	102	76
25	1662	1833	2394	2650	143	86	68
26	1748	1852	2158	2560	118	87	76
27	1735	1916	2490	2932	152	94	75
28	1684	1844	2210	2632	123	86	72
29	1734	1842	2108	2582	114	87	75
30	1818	1939	2160	2746	118	96	84
31	1872	1986	2300	2992	133	101	89
32	1869	2050	2394	2996	142	107	89
32	1600	1689	2086	2464	111	71	61
33	1670	1768	2202	2570	123	79	69
34	1766	1888	2248	2878	127	91	77
35	1677	1800	2204	2578	123	82	70
36	1730	1916	2372	2906	139	93	75
37	1732	1871	2340	2728	137	89	75
38	1620	1745	2152	2682	118	76	63
39	1824	2030	2576	3078	161	105	84
40	1854	2024	2444	3166	147	105	87
41	1834	2084	2756	3242	179	111	85
42	1817	2106	2874	3270	191	113	84
43	1670	1826	2450	2790	148	84	69
44	1690	1844	2424	2842	145	86	71
45	1769	1845	2038	2488	106	86	79
46	1787	2088	2970	3602	201	111	80
47	1686	1872	2412	2764	144	89	71
48	1911	2200	2714	3408	175	122	93
49	1756	1860	3466	3806	251	88	77
50	1916	2058	2912	3178	195	108	94
