id	BLUE	GREEN	RED	NIR	R	G	B
1	1648	2136	1542	5900	56	116	66
2	1654	1877	1588	4860	60	90	67
3	1628	1882	1508	6004	52	90	64
4	1632	1756	1562	4144	58	77	65
5	1603	1654	1475	4054	49	67	62
6	1533	1594	1444	3598	46	61	55
7	1606	1893	1528	4996	54	91	62
8	1621	1758	1502	5112	52	78	64
9	1575	1620	1488	3938	50	63	59
10	1684	1807	1742	3944	76	82	70
11	1722	2110	1624	5208	64	113	74
12	1617	1847	1546	5084	56	87	63
13	1398	1534	1351	3534	36	55	41
14	1363	1636	1300	4708	31	65	37
15	2656	2854	2410	7548	144	189	169
16	1504	1700	1420	4944	43	72	52
17	1456	1580	1367	3656	38	59	47
18	1486	1656	1547	3652	56	67	50
19	1614	1918	1496	5416	51	94	63
20	1594	1751	1473	4184	50	78	61
21	1659	1738	1522	4236	54	75	67
22	1703	1714	1593	3758	61	73	72
23	1391	1501	1303	3450	31	51	40
24	1421	1509	1335	3460	35	52	43
25	1696	1938	1632	5004	65	96	72
26	1702	2044	1626	4944	64	107	72
27	1724	1970	1646	4768	66	99	74
28	1681	1808	1624	4472	64	83	70
29	1594	1607	1486	3562	50	62	61
30	1608	1705	1450	4132	46	72	62
31	1560	1672	1406	3864	42	69	57
32	1441	1546	1348	3610	36	56	45
33	1454	1596	1408	3534	42	61	47
34	1406	1443	1305	3198	31	46	43
35	1507	1554	1406	4108	42	57	52
36	1597	1960	1563	5456	58	98	61
37	1586	1739	1684	3652	70	76	60
38	1632	1810	1720	3722	74	83	65
39	1405	1492	1376	3368	39	50	42
40	1490	1758	1582	4312	60	78	49
41	1378	1485	1360	3244	37	50	39
42	1401	1559	1350	3778	36	57	41
43	1390	1636	1398	4888	41	65	40
44	1618	1758	1548	3420	56	78	63
45	1664	1928	1756	4068	77	95	68
46	1697	1927	1747	4268	76	95	71
47	1688	1947	1677	4728	69	97	70
48	1776	2028	1777	4176	79	105	79
49	1736	2022	1732	4804	75	104	75
50	1637	1894	1532	5936	55	91	65
